TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,12559,012559-T-W CAM BLK 167 DEEP WATER LINK,1.0,M2,Y,RDQ,R,Y,400000,95000,30199,64801,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14011,014011-T-SS 182C #2 RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,1601,2899,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10932,010932-T-SS  154 E,1.0,M2,Y,RDQ,R,N,72204,72204,0,72204,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24020,024020-T-SP 24 Buyback,1.0,MQ,Y,RDQ,D,Y,2500,2500,400,2100,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12438,012438-T-SNOW WELL,1.0,M2,Y,RDQ,R,Y,21000,21000,75,20925,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10688,010688-T-LAKE RACCOURCI DEHY,1.0,M2,Y,RDQ,R,Y,39193,39193,1,39192,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14006,014006-T- Miami Corp,1.0,M2,Y,RDQ,R,Y,18000,18000,900,17100,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24012,024012-T- ENLINK LIG GUEYDAN,1.0,MQ,Y,RDQ,D,Y,89422,55000,8000,47000,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12428,012428-T-S M I 72,1.0,M2,Y,RDQ,R,Y,38527,38527,651,37876,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10665,010665-T-W D BLK DEHY 2,1.0,M2,Y,RDQ,R,N,141601,141601,7000,134601,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14003,014003-T-Hilcorp Homeplace,1.0,M2,Y,RDQ,R,Y,4709,4709,175,4534,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24004,024004-T-SABINE-SW LATERAL,1.0,MQ,Y,RDQ,D,Y,300000,300000,1000,299000,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12308,012308-T-S TIM BLK 23,1.0,M2,Y,RDQ,R,Y,61456,61456,2500,58956,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10599,010599-T-MECOM LAKE WASHINGTON DEHY,1.0,M2,Y,RDQ,R,Y,24901,24901,4875,20026,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12880,012880-T-VR 214 RIP 523M 175,1.0,M2,Y,RDQ,R,N,75000,75000,1,74999,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20568,020568-T-VENICE LA TPORT  2,1.0,MQ,Y,RDQ,D,Y,272000,272000,27386,244614,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11970,011970-T-E I  224A,1.0,M2,Y,RDQ,R,N,122000,122000,0,122000,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10516,010516-T-S PASS BLK 24 DEHY,1.0,M2,Y,RDQ,R,Y,19058,19058,1,19057,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12815,012815-T-EGAN A SOUTH,1.0,M2,Y,RDQ,R,N,62000,35000,0,35000,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,501310,050131-T-PORT SULPHUR RECEIPT,1.0,M2,Y,RDQ,R,N,0,0,0,0,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11692,011692-T-SMI 106A,1.0,M2,Y,RDQ,R,Y,72492,72492,100,72392,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
